NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"MORON AB, SP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"GIBRALTAR, GI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,13,16,7,,,,,,,,13.0,13.924444444444445
PALAGRUZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,0.6666666666666666,0.9974937343358395
"PLOVDIV, BU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,,,3,24,23,,,12.4,17.77825711820535
"RIVOLTO, IT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,0.0
"POTAPOVO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,8,1.3333333333333333,6.23175965665236
"PECHORA, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0.0,0.0
"YANOV STAN, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,0,0,,,,,,7,1.4285714285714286,3.4211764705882355
"TEMBENCHI, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,,0,,,,,,12,2.5,8.737451737451737
"VERESHCHAGINO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,0,13,9,6,4,4,10,4.166666666666667,5.408718452966241
"UCAMI, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,0,,,,,,14,3.142857142857143,4.799718903724526
"KERBO, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,6,3,1,,,,,,6,3.2857142857142856,4.000639386189258
"KELLOG, RS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,4,3,0,15,13,10,7,6,12,6.083333333333333,7.66603654694392
