NAME,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,AVERAGE,WEIGHTED_AVERAGE
"BERGEN FREDRIKSBERG, NO",1,0,0,,0,,,,,,0.25,0.5555555555555556
"BERGEN FLORIDA, NO",7.0,4.0,13.0,5.0,5.0,10.0,10.0,5.0,10.0,12.0,8.1,8.103098437071566
"TAKLE, NO",0,,,,,,,0,,,0.0,0.0
"STRYN, NO",0,0,,,0,,0,,,,0.0,0.0
"FORDE TEFRE, NO",0,,,1,0,0,0,,,,0.2,0.3
"KVAMSKOGEN, NO",0,1,,,,,0,,,,0.3333333333333333,0.85
"FINSE III, NO",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3684210526315789
"SOGNEFJELL, NO",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.21501925545571246
"LOKEN I VOLBU, NO",0,,0,0,0,0,0,,,,0.0,0.0
"NESBYEN SKOGLUND, NO",4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.3,1.307749077490775
"KVITFJELL, NO",0,,,,,,,,,,0.0,0.0
"LILLEHAMMER SAETHERENGEN, NO",0,0,,3,6,2,1,0,0,0,1.3333333333333333,1.6781516011349817
"KISE, NO",7,,,,,,,,,,7.0,7.0
"EVENSTAD DIH, NO",0,,,,0,0,0,,,0,0.0,0.0
"GARDERMOEN, NO",26.0,13.0,19.0,10.0,20.0,21.0,17.0,13.0,13.0,10.0,16.2,16.269784172661872
"RENA AIRPORT, NO",0,0,,,,,,,2,0,0.5,0.9708454810495627
"UTSIRA FYR, NO",5.0,4.0,6.0,0.0,2.0,2.0,5.0,1.0,3.0,5.0,3.3,3.3000273747604707
"KARMOY, NO",5.0,7.0,7.0,1.0,2.0,6.0,8.0,5.0,10.0,11.0,6.2,6.25882687927107
"SLATTEROY FYR, NO",3.0,2.0,4.0,2.0,2.0,1.0,5.0,0.0,2.0,1.0,2.2,2.189151208544126
"OBRESTAD, NO",0,0,,0,0,,2,2,4,0,1.0,1.9675383228133454
"SOLA, NO",12.0,14.0,29.0,7.0,9.0,18.0,10.0,6.0,25.0,18.0,14.8,14.800437996167533
"SAUDA, NO",1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.8,0.7286036036036037
"LISTA FYR, NO",6.0,5.0,15.0,2.0,3.0,3.0,4.0,3.0,10.0,1.0,5.2,5.203240867893435
"LISTA, NO",1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,4.0,1.0,1.7,1.7077625570776256
